rental_price,sq_mtrs,Bedrooms,Bathrooms,constituency
155000,4.0,4.0,4.0, Westlands
100000,300.0,3.0,4.0, Dagoretti North
75000,3.0,3.0,5.0, Dagoretti North
135000,227.0,3.0,4.0, Dagoretti North
50000,3.0,3.0,, Embakasi
150000,2.0,2.0,, Westlands
100000,14.0,2.0,3.0, Dagoretti North
100000,186.0,3.0,3.0, Westlands
85000,4.0,4.0,, Thika Road
65000,2.0,2.0,2.0, Dagoretti North
95000,2.0,2.0,2.0, Westlands
75000,3.0,3.0,3.0, Thindigua
65000,3.0,3.0,2.0, Dagoretti North
85000,1.0,1.0,1.0, Westlands
220000,3.0,3.0,3.0, Westlands
120000,3.0,3.0,3.0, Westlands
50000,0.0,0.0,1.0, Westlands
85000,2.0,2.0,2.0, Dagoretti North
12000,90.0,1.0,1.0, Nyali
13000,0.0,0.0,, Westlands
13000,2.0,2.0,1.0, Kiambaa
13000,0.0,0.0,1.0, Kiambaa
13000,1.0,1.0,1.0, Kisauni
14000,2.0,2.0,1.0, Kiambaa
15000,2.0,2.0,1.0, Kiambaa
15000,45.0,1.0,1.0, Dagoretti South
15000,0.0,0.0,1.0, Kiambu Road
15000,2.0,2.0,1.0, Roysambu
16000,2.0,2.0,2.0, Kiambaa
16000,1.0,1.0,1.0, Kasarani
16000,2.0,2.0,1.0, Dagoretti South
16000,1.0,1.0,1.0, Kajiado North
16000,1.0,1.0,1.0, Kiambaa
98000,3.0,3.0,3.0, Dagoretti North
200000,3.0,3.0,3.0, Westlands
16000,1.0,1.0,1.0, Kasarani
16000,1.0,1.0,, Kiambaa
17000,1.0,1.0,, Athi River
17000,1.0,1.0,1.0, Ngong
17000,2.0,2.0,2.0, Kiambaa
17000,2.0,2.0,2.0, Kiambaa
17000,2.0,2.0,, Kajiado North
17500,1.0,1.0,, Embakasi
18000,2.0,2.0,2.0, Kiambaa
18000,1.0,1.0,1.0, Nyali
18000,1.0,1.0,1.0, Kikuyu
19000,180.0,1.0,1.0, Nyali
20000,1.0,1.0,, Westlands
20000,2023.0,1.0,1.0, Dagoretti South
20000,2.0,2.0,, Kasarani
70000,2.0,2.0,2.0, Dagoretti North
75000,125.0,2.0,2.0, Dagoretti North
20000,4000.0,1.0,1.0, Kiambaa
20000,2.0,2.0,2.0, Ruiru
20000,1.0,1.0,1.0, Kiambaa
20000,200.0,1.0,1.0, Nyali
20000,2.0,2.0,2.0, Kiambaa
20000,1200.0,1.0,1.0, Nyali
20000,4000.0,1.0,1.0, Kiambaa
20000,2.0,2.0,, Kajiado North
20000,2.0,2.0,2.0, Kisumu Central
22000,2.0,2.0,2.0, Kikuyu
22000,2.0,2.0,1.0, Kabete
22000,2.0,2.0,1.0, Kajiado North
280000,3.0,3.0,, Westlands
18000,1.0,1.0,1.0, Kikuyu
23000,4000.0,1.0,1.0, Kiambaa
23000,2.0,2.0,2.0, Kisumu Central
24000,2.0,2.0,2.0, Embakasi
24000,,,, Langata
24000,2.0,2.0,2.0, Nyali
25000,3.0,3.0,2.0, Thika
25000,4000.0,2.0,, Kiambaa
